motif_id	parent
MIFL
A	MIFL
B	MIFL
C	MIFL
D	MIFL
E	MIFL
F	MIFL
G	MIFL
H	MIFL
J	MIFL
K	MIFL
L	MIFL
M	MIFL
N	MIFL
P	MIFL
Q	MIFL
R	MIFL
S	MIFL
T	MIFL
U	MIFL
V	MIFL
W	MIFL
X	MIFL
Z	MIFL
K1950	K1900-K1999
K1970	K1900-K1999
K1980	K1900-K1999
K2000-K2099	K1700-K2099
K2000	K2000-K2099
K2010	K2000-K2099
K2030	K2000-K2099
K2050	K2000-K2099
K2060	K2000-K2099
K2100-K2199	K
K2100	K2100-K2199
K2110	K2100-K2199
K2130	K2100-K2199
K2150	K2100-K2199
K2200-K2299	K
K2200	K2200-K2299
K2210	K2200-K2299
K2220	K2200-K2299
K2230	K2200-K2299
K2240	K2200-K2299
K2250	K2200-K2299
K2260	K2200-K2299
K2270	K2200-K2299
K2280	K2200-K2299
K2290	K2200-K2299
K2300-K2399	K
K2300	K2300-K2399
K2310	K2300-K2399
K2320	K2300-K2399
K2350	K2300-K2399
K2370	K2300-K2399
L0-L99	L
L0	L0-L99
L10	L0-L99
L50	L0-L99
L100-L199	L
L100	L100-L199
L110	L100-L199
L130	L100-L199
L140	L100-L199
L160	L100-L199
L200-L299	L
L200	L200-L299
L210	L200-L299
L220	L200-L299
L250	L200-L299
L300-L399	L
L300	L300-L399
L310	L300-L399
L330	L300-L399
L350	L300-L399
L390	L300-L399
L400-L499	L
L400	L400-L499
L410	L400-L499
L420	L400-L499
L430	L400-L499
L450	L400-L499
L460	L400-L499
M10	M
M20	M
M50	M
M90	M
M100-M199	M
M100	M100-M199
M110	M100-M199
M120	M100-M199
M130	M100-M199
M150	M100-M199
M200-M299	M
M200	M200-M299
M210	M200-M299
M220	M200-M299
M250	M200-M299
M260	M200-M299
M290	M200-M299
M300-M399	M
M300	M300-M399
M310	M300-M399
M340	M300-M399
M360	M300-M399
M370	M300-M399
M390	M300-M399
M400-M499	M
M400	M400-M499
M410	M400-M499
M420	M400-M499
M430	M400-M499
M460	M400-M499
M490	M400-M499
N10	N
N50	N
N90	N
N100-N299	N
N100-N169	N100-N299
N100	N100-N169
N110	N100-N169
N120	N100-N169
N130	N100-N169
N140	N100-N169
N170	N100-N299
N200	N100-N299
N250	N100-N299
N270	N100-N299
N300-N399	N
N300	N300-N399
N310	N300-N399
N320	N300-N399
