motif_id	cultural_term
A139.5.1	Jewish: Neuman.
A139.5.2	Jewish: Neuman.
A139.6	Jewish: Neuman.
A139.7	Gaster Thespis 211
A139.7	389
A139.7	397.
A139.8.1	Hawaii: Beckwith Myth 284.
A139.8.2	Hawaii: Beckwith Myth 219.
A139.8.3	Hawaii: Beckwith Myth 188.
A139.8.4	Hawaii: Beckwith Myth 121.
A139.8.5	Hawaii: Beckwith Myth 17.
A139.8.6	Hawaii: Beckwith Myth 2
A139.8.6	Chap.
A139.9.1	Easter Is.: Mitraux Ethnology 315.
A139.9.2	Iliad book V line 137.
A139.9.3	Tahiti: Henry 338.
A139.10	Tahiti: Henry 336.
A139.11	Hawaii: Beckwith Myth 4.
A139.12	Jewish: Neuman.
A139.13	Buddhist myth: Malalasekera I 840.
A139.14	Chinese: Eberhard FFC CXX 194 No. 135.
A139.15	Chinese: Eberhard FFC CXX 215f.
A140	Icel.: MacCulloch Eddic 327.
A141	Greek: Fox 206. Tahiti: Henry 342.
A141.1	Icel.: Boberg; Greek: Fox 207; Africa (Luba): Donohugh Africa V 180.
A141.2	Jewish: Neuman.
A141.3	Jewish: Neuman.
A141.4	Jewish: Neuman.
A142	Greek: Fox 206; Gaster Thespis 154ff.; *Krappe Archiv f. d. Studium d. neueren Sprachen CLVIII CLXI passim.; Norse: Herrmann Nordische Mythologie 115ff.; Lithuanian: Gray 330; Irish myth: Cross; India: Thompson-Balys.
A142.0.1	India: Thompson-Balys.
A142.1	Irish myth: Cross.
A143	Irish myth: Cross; India: Thompson-Balys.
A144	Irish myth: Cross.
A145	Irish myth: Cross.
A147	(cf. +A165.9). Hawaii: Beckwith Myth 24.
A151	Celtic (general): MacCulloch Celtic 14; Irish: ibid. Hawaii: Beckwith Myth 67; So. Am. Indian (Apapocuvb -Guarani): Mi traux RMLP XXXIII 122; Africa (Fang): Trilles 130.
A151.0.1	Jewish: Neuman.
A151.0.2	Jewish: Neuman.
A151.1	Patch PMLA XXXIII 618; Gaster Thespis 138
A151.1	170ff.; Greek: Fox 8
A151.1	"Grote I 10; Icel.: MacCulloch Eddic 23; Hindu: Penzer X 195 s. v. ""Kailasa"""
A151.1	Keith 149 (Mount Meru); India: *Thompson-Balys; Jewish: Neuman. Hawaii: Beckwith Myth 19.
A151.1.1	Irish myth: Cross. Cheyenne: Alexander N. Am.
A151.1.2	Hivaoa (Marquesas): Handy 104; Tonga: Gifford 81.
A151.1.3	Hawaii: Beckwith Myth 167
A151.1.3	173.
A151.1.4	Hawaii: Beckwith Myth 64
A151.1.4	67; Tahiti: Beckwith Myth 31.
A151.2	Hindu: Penzer I 66 n. 1
A151.2	68
A151.2	96
A151.2	II 34
A151.2	III 5
A151.2	24
A151.2	138
A151.2	VI 82
A151.2	VII 129
A151.2	148
A151.2	VIII 73
A151.2	165
A151.2	170
A151.2	IX 21
A151.2	87 n. 4; Irish myth: Cross; Babylonian: Ungnad Das Gilgamesch Epos IX 163
A151.2	cf. 148
A151.2	163ff.; Jewish: Neuman; Gaster Thespis 171
A151.2	Oldest Stories 48.
A151.3	India: Thompson-Balys.
A151.3.1	Tonga: Beckwith Myth 74.
A151.3.2	Hawaii: Beckwith Myth 67f.
A151.3.2	85; Tahiti: Beckwith Myth 178.
A151.4	Icel.: MacCulloch Eddic 327
A151.4	329.
A151.4.1	Jewish: Neuman.
A151.4.2	Virgil Aeneid X line 3.
A151.4.3	Buddhist myth: Malalasekera II 421.
A151.4.4	Samoa: Beckwith Myth 76.
